Model,Threshold,Accuracy,Recall,Precision,F1,ROC-AUC
Logistic Regression (Balanced),0.5,0.715625,0.7491166077738516,0.5753052917232022,0.6508058326937836,0.792759942861439
Random Forest (Balanced),0.35,0.734375,0.6872791519434629,0.6106750392464678,0.6467165419783873,0.7978159536876926
LightGBM (Balanced),0.4,0.71875,0.7385159010600707,0.5805555555555556,0.6500777604976672,0.792949607343262
Blended (LR + RF + LGBM),0.45,0.74375,0.6908127208480566,0.6246006389776357,0.6560402684563759,0.8076067418034187
